Name,Total Use of Force Incidents,Total Types of Force Reported,Pointed Firearm,Used or Discharged Firearm,Displayed Chemical Agent,Used or Deployed Chemical Agent,Pointed Elec Ctrl Wpn,Used or Deployed Elec Ctrl Wpn,Pointed Impact Wpn,Used or Deployed Impact Wpn,Chokehold or Other Similar Restraint,Conduct Resulting in Serious Bodily Injury,Conduct Resulting in Death,Not Reported
Niagara Town PD,1,1,1,0,0,0,0,0,0,0,0,0,0,0
North Syracuse Vg PD,1,3,2,0,0,0,1,0,0,0,0,0,0,0
North Tonawanda City PD,4,9,2,0,0,0,3,2,0,0,2,0,0,0
Norwich City PD,5,6,2,0,0,2,2,0,0,0,0,0,0,0
Ogden Town PD,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Ogdensburg City PD,2,3,2,0,0,0,0,1,0,0,0,0,0,0
Olean City PD,2,4,3,0,0,0,0,0,0,1,0,0,0,0
Oneida City PD,4,4,1,0,0,0,1,2,0,0,0,0,0,0
Oneida County Sheriff,3,3,0,0,0,3,0,0,0,0,0,0,0,0
Onondaga County Sheriff,9,11,2,0,0,3,4,2,0,0,0,0,0,0
Orange County Sheriff,5,35,35,0,0,0,0,0,0,0,0,0,0,0
Orchard Park Town PD,3,5,4,0,0,0,0,1,0,0,0,0,0,0
Ossining Vg PD,2,9,8,0,0,0,0,1,0,0,0,0,0,0
Oswego County Sheriff,4,5,4,0,0,0,0,1,0,0,0,0,0,0
Oxford Vg PD,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Peekskill City PD,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Pelham Vg PD,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Perry Vg PD,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Plattsburgh City PD,4,4,3,0,0,0,0,1,0,0,0,0,0,0
Port Authority NY-NJ PD,6,7,3,0,0,2,0,0,0,2,0,0,0,0
Port Chester Vg PD,1,3,3,0,0,0,0,0,0,0,0,0,0,0
Port Jervis City PD,2,2,0,0,0,0,1,1,0,0,0,0,0,0
Poughkeepsie City PD,7,11,5,0,0,0,3,3,0,0,0,0,0,0
Poughkeepsie Town PD,4,9,7,0,0,1,1,0,0,0,0,0,0,0
Putnam County Sheriff,2,3,0,0,0,0,1,2,0,0,0,0,0,0
Quogue Vg PD,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Ramapo Town PD,4,6,3,0,0,0,3,0,0,0,0,0,0,0
Rensselaer City PD,1,2,2,0,0,0,0,0,0,0,0,0,0,0
Rensselaer County Sheriff,5,5,0,0,0,5,0,0,0,0,0,0,0,0
Riverhead Town PD,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Rochester City PD,130,263,236,2,2,18,2,1,2,0,0,0,0,0
Rockland County Sheriff,7,9,3,0,1,4,1,0,0,0,0,0,0,0
Rome City PD,2,3,1,0,0,0,2,0,0,0,0,0,0,0
Salamanca City PD,4,9,0,0,1,2,2,4,0,0,0,0,0,0
Saranac Lake Vg PD,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Saratoga County Sheriff,9,9,4,0,0,0,3,2,0,0,0,0,0,0
Saratoga Springs City PD,6,11,6,0,0,0,5,0,0,0,0,0,0,0
Schenectady City PD,8,8,6,0,0,0,2,0,0,0,0,0,0,0
Schenectady County Sheriff,2,4,0,0,2,2,0,0,0,0,0,0,0,0
Schuyler County Sheriff,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Seneca County Sheriff,2,2,1,0,0,0,0,1,0,0,0,0,0,0
Seneca Falls Town PD,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Sherburne Vg PD,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Solvay Vg PD,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Southampton Town PD,3,8,4,0,0,0,2,1,1,0,0,0,0,0
Spring Valley Vg PD,3,10,7,0,0,0,2,1,0,0,0,0,0,0
St Lawrence County Sheriff,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Steuben County Sheriff,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Suffolk County PD,29,34,13,0,0,0,3,17,0,1,0,0,0,0
Suffolk County Sheriff,4,4,0,0,0,3,0,1,0,0,0,0,0,0
SUNY Police - Albany,1,1,0,0,0,0,1,0,0,0,0,0,0,0
SUNY Police - Upstate Medical,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Syracuse City PD,12,16,4,0,3,3,3,3,0,0,0,0,0,0
Tarrytown Vg PD,1,2,2,0,0,0,0,0,0,0,0,0,0,0
Tioga County Sheriff,5,12,6,0,3,3,0,0,0,0,0,0,0,0
Tompkins County Sheriff,3,5,0,0,2,2,1,0,0,0,0,0,0,0
Tonawanda City PD,2,2,1,0,0,1,0,0,0,0,0,0,0,0
Tonawanda Town PD,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Troy City PD,13,22,15,0,0,1,3,3,0,0,0,0,0,0
Ulster County Sheriff,2,2,1,0,0,0,1,0,0,0,0,0,0,0
Vestal Town PD,5,7,6,0,0,0,1,0,0,0,0,0,0,0
Wallkill Town PD,8,8,6,0,0,0,1,1,0,0,0,0,0,0
Walton Vg PD,1,2,1,0,0,0,1,0,0,0,0,0,0,0
Warren County Sheriff,1,3,2,0,0,0,0,1,0,0,0,0,0,0
Washington County Sheriff,2,2,0,0,0,0,2,0,0,0,0,0,0,0
Watertown City PD,6,9,2,0,2,4,1,0,0,0,0,0,0,0
Watervliet City PD,3,7,3,0,0,0,1,3,0,0,0,0,0,0
Waverly Vg PD,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Wayne County Sheriff,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Webster Town and Vg PD,2,6,5,0,0,0,1,0,0,0,0,0,0,0
West Seneca Town PD,4,5,4,0,0,0,1,0,0,0,0,0,0,0
Westchester Co Dept Pub Safety,7,9,6,0,0,0,3,0,0,0,0,0,0,0
Whitehall Vg PD,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Wyoming County Sheriff,2,6,5,0,0,0,1,0,0,0,0,0,0,0
Yates County Sheriff,1,2,0,0,0,0,1,1,0,0,0,0,0,0
Yonkers City PD,9,15,11,0,0,0,2,1,0,0,1,0,0,0
Yorktown Town PD,2,5,4,0,0,0,0,1,0,0,0,0,0,0
